timestamp,focusScore,currentState,recoveryLatency,earValue,headPitch,phoneDetected,personCount
20:03:11,100.0,Flow,0.0,0.2174,-0.1147,0,1
20:03:17,100.0,Flow,0.0,0.385,-0.0472,0,1
20:03:17,100.0,Flow,0.0,0.385,-0.0472,0,1
20:03:17,100.0,Flow,0.0,0.4264,0.0949,0,1
20:03:18,100.0,Flow,0.0,0.4264,0.0949,0,1
20:03:18,100.0,Flow,0.0,0.4573,0.0869,0,1
20:03:18,100.0,Flow,0.0,0.4573,0.0869,0,1
20:03:18,100.0,Flow,0.0,0.4473,0.0692,0,1
20:03:18,100.0,Flow,0.0,0.4473,0.0692,0,1
20:03:18,100.0,Flow,0.0,0.491,0.083,0,1
20:03:18,100.0,Flow,0.0,0.491,0.083,0,1
20:03:18,100.0,Flow,0.0,0.4446,0.0721,0,1
20:03:19,100.0,Flow,0.0,0.4446,0.0721,0,1
20:03:19,100.0,Flow,0.0,0.4256,0.0784,0,1
20:03:19,100.0,Flow,0.0,0.4256,0.0784,0,1
20:03:19,100.0,Flow,0.0,0.3986,0.0618,0,1
20:03:19,100.0,Flow,0.0,0.3986,0.0618,0,1
20:03:19,100.0,Flow,0.0,0.4131,0.0621,0,1
20:03:19,100.0,Flow,0.0,0.4131,0.0621,0,1
20:03:20,100.0,Flow,0.0,0.3833,0.0685,0,1
20:03:20,100.0,Flow,0.0,0.3833,0.0685,0,1
20:03:20,100.0,Flow,0.0,0.3873,0.0721,0,1
20:03:20,100.0,Flow,0.0,0.3873,0.0721,0,1
20:03:20,100.0,Flow,0.0,0.3482,0.0663,0,1
20:03:20,100.0,Flow,0.0,0.3482,0.0663,0,1
20:03:20,100.0,Flow,0.0,0.307,0.0572,0,1
20:03:21,100.0,Flow,0.0,0.307,0.0572,0,1
20:03:21,100.0,Flow,0.0,0.1507,0.0651,0,1
20:03:21,100.0,Flow,0.0,0.1507,0.0651,0,1
20:03:21,100.0,Flow,0.0,0.3476,0.0592,0,1
20:03:21,100.0,Flow,0.0,0.3476,0.0592,0,1
20:03:21,100.0,Flow,0.0,0.3924,0.0662,0,1
20:03:21,100.0,Flow,0.0,0.3924,0.0662,0,1
20:03:21,100.0,Flow,0.0,0.4038,0.0579,0,1
20:03:22,100.0,Flow,0.0,0.4038,0.0579,0,1
20:03:22,100.0,Flow,0.0,0.3778,0.0606,0,1
20:03:22,100.0,Flow,0.0,0.3778,0.0606,0,1
20:03:22,100.0,Flow,0.0,0.3897,0.0527,0,1
20:03:22,100.0,Flow,0.0,0.3897,0.0527,0,1
20:03:22,100.0,Flow,0.0,0.4038,0.0555,0,1
20:03:22,100.0,Flow,0.0,0.4038,0.0555,0,1
20:03:22,100.0,Flow,0.0,0.3848,0.0695,0,1
20:03:23,100.0,Flow,0.0,0.3848,0.0695,0,1
20:03:23,100.0,Flow,0.0,0.4073,0.0614,0,1
20:03:23,100.0,Flow,0.0,0.4073,0.0614,0,1
20:03:23,100.0,Flow,0.0,0.3782,0.0572,0,1
20:03:23,100.0,Flow,0.0,0.3782,0.0572,0,1
20:03:23,100.0,Flow,0.0,0.4097,0.0602,0,1
20:03:23,100.0,Flow,0.0,0.4097,0.0602,0,1
20:03:24,100.0,Flow,0.0,0.4076,0.0734,0,1
20:03:24,100.0,Flow,0.0,0.4076,0.0734,0,1
20:03:24,100.0,Flow,0.0,0.4325,0.0675,0,1
20:03:24,100.0,Flow,0.0,0.4325,0.0675,0,1
20:03:24,100.0,Flow,0.0,0.4586,0.0621,0,1
20:03:24,100.0,Flow,0.0,0.4586,0.0621,0,1
20:03:24,100.0,Flow,0.0,0.5476,0.0355,0,1
20:03:24,99.64,Thinking,0.0,0.5476,0.0355,0,1
20:03:31,99.31,Away,0.0,0.4472,0.0287,0,1
20:03:38,99.0,Away,0.0,0.4472,0.0287,0,1
20:03:38,98.72,Away,0.0,0.4288,0.1746,0,1
20:03:38,98.45,Away,0.0,0.4288,0.1746,0,1
20:03:38,98.2,Away,0.0,0.4441,0.1865,0,1
20:03:38,97.95,Away,0.0,0.4441,0.1865,0,1
20:03:38,97.7,Away,0.0,0.4531,0.1579,0,1
20:03:39,97.45,Away,0.0,0.4531,0.1579,0,1
20:03:39,97.2,Away,0.0,0.4717,0.1424,0,1
20:03:39,96.95,Away,0.0,0.4717,0.1424,0,1
20:03:39,96.7,Away,0.0,0.3869,0.0888,0,1
20:03:39,96.47,Away,0.0,0.3869,0.0888,0,1
20:03:39,96.25,Away,0.0,0.336,-0.0094,0,1
20:03:39,96.04,Away,0.0,0.336,-0.0094,0,1
20:03:39,95.82,Distracted,0.0,0.4095,0.0624,0,2
20:03:45,95.61,Distracted,0.0,0.4095,0.0624,0,2
20:03:45,95.43,Flow,20.75,0.3703,0.0627,0,1
20:03:49,95.29,Flow,20.75,0.3703,0.0627,0,1
20:03:49,95.18,Flow,20.75,0.3993,0.1029,0,1
20:03:50,95.1,Flow,20.75,0.3993,0.1029,0,1
20:03:50,95.04,Flow,20.75,0.4532,0.1109,0,1
20:03:50,95.0,Flow,20.75,0.4532,0.1109,0,1
20:03:50,94.99,Flow,20.75,0.4539,0.1183,0,1
20:03:50,94.99,Flow,20.75,0.4539,0.1183,0,1
20:03:50,95.01,Flow,20.75,0.4502,0.1106,0,1
20:03:50,95.04,Flow,20.75,0.4502,0.1106,0,1
20:03:51,95.08,Flow,20.75,0.4661,0.1149,0,1
20:03:51,95.13,Flow,20.75,0.4661,0.1149,0,1
20:03:51,95.19,Flow,20.75,0.4724,0.1169,0,1
20:03:51,95.25,Flow,20.75,0.4724,0.1169,0,1
20:03:51,95.33,Flow,20.75,0.446,0.1117,0,1
20:03:51,95.41,Flow,20.75,0.446,0.1117,0,1
20:03:51,95.5,Flow,20.75,0.2881,0.107,0,1
20:03:52,95.59,Flow,20.75,0.2881,0.107,0,1
20:03:52,95.68,Flow,20.75,0.426,0.1169,0,1
20:03:52,95.78,Flow,20.75,0.426,0.1169,0,1
20:03:52,95.88,Flow,20.75,0.4512,0.1221,0,1
20:03:52,95.98,Flow,20.75,0.4512,0.1221,0,1
20:03:52,96.09,Flow,20.75,0.4505,0.108,0,1
20:03:52,96.2,Flow,20.75,0.4505,0.108,0,1
20:03:52,96.31,Flow,20.75,0.4647,0.111,0,1
20:03:53,96.42,Flow,20.75,0.4647,0.111,0,1
20:03:53,96.54,Flow,20.75,0.2124,0.1062,0,1
20:03:53,96.65,Flow,20.75,0.2124,0.1062,0,1
20:03:53,96.77,Flow,20.75,0.2991,0.107,0,1
20:03:53,96.89,Flow,20.75,0.2991,0.107,0,1
20:03:53,97.01,Flow,20.75,0.3331,0.1097,0,1
20:03:53,97.13,Flow,20.75,0.3331,0.1097,0,1
20:03:53,97.25,Flow,20.75,0.3292,0.1095,0,1
20:03:54,97.37,Flow,20.75,0.3292,0.1095,0,1
20:03:54,97.49,Flow,20.75,0.4212,0.1063,0,1
20:03:54,97.61,Flow,20.75,0.4212,0.1063,0,1
20:03:54,97.73,Flow,20.75,0.4507,0.125,0,1
20:03:54,97.85,Flow,20.75,0.4507,0.125,0,1
20:03:54,97.98,Flow,20.75,0.2207,0.0693,0,1
20:03:54,98.1,Flow,20.75,0.2207,0.0693,0,1
20:03:55,98.22,Flow,20.75,0.1894,0.0257,0,1
20:03:55,98.35,Flow,20.75,0.1894,0.0257,0,1
